id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
6787,Double Dragon,https://www.igdb.com/g/58j,7.43796995003372,Main Game,"[""Apr 17, 2020 (North America [NA])"", ""1991 ()"", ""1988 (North America [NA])"", ""1988 (North America [NA])"", ""1989 (North America [NA])"", ""1988 (Europe [EU])"", ""1993 (North America [NA])"", ""1993 (North America [NA])"", ""1988 (Europe [EU])"", ""May 09, 2007 (Worldwide [WW])"", ""1988 (North America [NA])"", ""Oct 01, 1988 (Japan [JP])"", ""1988 (North America [NA])"", ""Aug 01, 1987 (Japan [JP])"", ""1989 (North America [NA])"", ""1990 (Europe [EU])""]","[""Sega Mega Drive/Genesis"", ""MSX"", ""PlayStation 4"", ""Amstrad CPC"", ""Xbox 360"", ""Commodore C64/128/MAX"", ""Sega Master System/Mark III"", ""Amiga"", ""ZX Spectrum"", ""DOS"", ""Atari Lynx"", ""Atari 2600"", ""Atari 7800"", ""Atari ST/STE"", ""Arcade""]","[""Adventure"", ""Arcade"", ""Fighting"", ""Hack and slash/Beat 'em up"", ""Platform""]","[""Action""]","[""Technos Japan"", ""Ocean"", ""Arc System Works"", ""Zemina Co."", ""Telegames"", ""Activision"", ""Virgin Mastertronic"", ""Melbourne House"", ""Ballistic"", ""Arcadia Systems"", ""Empire Interactive"", ""Sega Enterprises""]",""
6817,Ghouls 'n Ghosts,https://www.igdb.com/g/59d,8.08773770167424,Main Game,"[""1989 (Europe [EU])"", ""Mar 1990 ()"", ""Aug 19, 1990 (Europe [EU])"", ""1989 (Europe [EU])"", ""1989 (Europe [EU])"", ""1989 (Europe [EU])"", ""Nov 30, 1990 (Europe [EU])"", ""Aug 03, 1989 (Japan [JP])"", ""Jul 1989 (North America [NA])"", ""Oct 1990 (North America [NA])"", ""Dec 1988 (Japan [JP])"", ""Apr 22, 1994 (Japan [JP])"", ""1989 (Europe [EU])""]","[""Sega Mega Drive/Genesis"", ""Amstrad CPC"", ""Commodore C64/128/MAX"", ""Sega Master System/Mark III"", ""Amiga"", ""ZX Spectrum"", ""Sharp X68000"", ""Atari ST/STE"", ""Arcade""]","[""Arcade"", ""Platform""]","[""Action"", ""Fantasy"", ""Horror""]","[""Capcom"", ""U.S. Gold"", ""Sega Enterprises""]",""
6969,Strider,https://www.igdb.com/g/5dl,6.72728074770878,Main Game,"[""1989 (Europe [EU])"", ""1989 (Europe [EU])"", ""Nov 27, 1992 (Japan [JP])"", ""1989 (Europe [EU])"", ""1991 (Europe [EU])"", ""Sep 29, 1990 (Japan [JP])"", ""1989 (Europe [EU])"", ""1989 (Europe [EU])"", ""Mar 01, 1989 (Japan [JP])"", ""1989 (Europe [EU])"", ""Feb 16, 2012 ()"", ""Nov 18, 2012 ()""]","[""Sega Mega Drive/Genesis"", ""Wii U"", ""Amstrad CPC"", ""Commodore C64/128/MAX"", ""Sega Master System/Mark III"", ""Amiga"", ""ZX Spectrum"", ""DOS"", ""Wii"", ""Sharp X68000"", ""Atari ST/STE"", ""Arcade""]","[""Arcade"", ""Platform""]","[""Action"", ""Science fiction""]","[""Capcom"", ""U.S. Gold"", ""Sega Enterprises""]",""
3192,Sonic the Hedgehog,https://www.igdb.com/g/2go,8.23118597614358,Main Game,"[""TBD (North America [NA])"", ""Mar 02, 2011 (Worldwide [WW])"", ""May 20, 2009 (Worldwide [WW])"", ""Aug 04, 2008 (North America [NA])"", ""Jul 1991 (Europe [EU])"", ""Jul 26, 1991 (Japan [JP])"", ""Sep 19, 2008 (Europe [EU])"", ""Jun 23, 1991 (North America [NA])"", ""Oct 26, 2010 (Worldwide [WW])"", ""May 2007 ()"", ""Aug 05, 2008 (Japan [JP])""]","[""Sega Mega Drive/Genesis"", ""Xbox 360"", ""iOS"", ""Wii"", ""Arcade"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Adventure"", ""Platform""]","[""Action"", ""Fantasy"", ""Science fiction""]","[""Sega"", ""Sonic Team"", ""Tectoy""]",""
39306,Street Fighter II: The World Warrior,https://www.igdb.com/g/ubu,8.13541066502912,Main Game,"[""Jan 19, 2007 (Australia [AU])"", ""Dec 17, 1992 (Europe [EU])"", ""Jul 15, 1992 (North America [NA])"", ""Jun 10, 1992 (Japan [JP])"", ""Jan 19, 2007 (Europe [EU])"", ""Jun 25, 2014 (Japan [JP])"", ""Dec 02, 2006 (Japan [JP])"", ""Aug 22, 2013 (North America [NA])"", ""Aug 22, 2013 (Europe [EU])"", ""Dec 25, 2006 (North America [NA])"", ""Jun 22, 1991 (Worldwide [WW])""]","[""Wii U"", ""Super Nintendo Entertainment System"", ""Wii"", ""Arcade""]","[""Arcade"", ""Fighting""]","[""Action""]","[""Capcom""]",""
4260,Samurai Shodown,https://www.igdb.com/g/3ac,8.03383091580155,Main Game,"[""Aug 11, 1993 ()"", ""Aug 11, 1993 ()"", ""Jul 20, 2017 (North America [NA])"", ""Aug 11, 1993 ()"", ""Oct 16, 2008 (Japan [JP])"", ""Aug 11, 1993 ()"", ""Aug 11, 1993 ()"", ""Aug 11, 1993 ()"", ""Aug 11, 1993 ()"", ""Aug 11, 1993 ()"", ""1994 ()"", ""Jun 11, 2020 (Worldwide [WW])"", ""Jul 20, 2017 (Europe [EU])"", ""Jun 16, 2008 (North America [NA])"", ""May 30, 2008 (Europe [EU])"", ""Aug 11, 1993 ()"", ""Sep 09, 1994 (Japan [JP])"", ""May 30, 2007 ()""]","[""Sega Mega Drive/Genesis"", ""Neo Geo AES"", ""PlayStation 2"", ""Super Nintendo Entertainment System"", ""Sega Master System/Mark III"", ""Game Boy"", ""Sega CD"", ""Wii"", ""Sega Game Gear"", ""3DO Interactive Multiplayer"", ""Neo Geo MVS"", ""Neo Geo CD"", ""Arcade"", ""PC (Microsoft Windows)"", ""Nintendo Switch""]","[""Fighting""]","[""Action""]","[""SNK""]",""
1090,Donkey Kong Country,https://www.igdb.com/g/ua,8.4967273146201,Main Game,"[""May 26, 2008 (Korea [KR])"", ""Dec 07, 2006 (Australia [AU])"", ""TBD (Korea [KR])"", ""Nov 26, 1994 (Japan [JP])"", ""Nov 24, 1994 (Europe [EU])"", ""Nov 21, 1994 (North America [NA])"", ""Nov 18, 1994 ()"", ""Mar 24, 2016 (Europe [EU])"", ""Mar 24, 2016 (North America [NA])"", ""Feb 26, 2015 (North America [NA])"", ""Oct 16, 2014 (Europe [EU])"", ""Nov 21, 1994 ()"", ""Feb 19, 2007 (North America [NA])"", ""Dec 12, 2006 (Japan [JP])"", ""Dec 08, 2006 (Europe [EU])""]","[""Wii U"", ""New Nintendo 3DS"", ""Super Nintendo Entertainment System"", ""Super Famicom"", ""Wii""]","[""Adventure"", ""Platform""]","[""Action""]","[""Nintendo"", ""Rare""]",""
4695,Twisted Metal,https://www.igdb.com/g/3mf,7.37390170056587,Main Game,"[""Feb 12, 2013 (North America [NA])"", ""Q4 1996 (Japan [JP])"", ""Nov 15, 1996 (Japan [JP])"", ""Nov 05, 1995 (North America [NA])"", ""Jan 16, 1996 (Europe [EU])"", ""Feb 12, 2013 (Worldwide [WW])""]","[""PlayStation Portable"", ""PlayStation"", ""PC (Microsoft Windows)"", ""PlayStation 3""]","[""Fighting"", ""Racing"", ""Shooter""]","[""Action"", ""Survival"", ""Thriller""]","[""Sony Interactive Studios America"", ""SingleTrac Entertainment Technologies"", ""Eat Sleep Play Inc."", ""Sony Computer Entertainment""]",""
1074,Super Mario 64,https://www.igdb.com/g/tu,9.02929729482033,Main Game,"[""Apr 01, 2015 (Europe [EU])"", ""Dec 08, 2006 (Europe [EU])"", ""Apr 01, 2015 (North America [NA])"", ""Apr 02, 2015 (Australia [AU])"", ""Nov 19, 2006 (North America [NA])"", ""Mar 01, 1997 (Europe [EU])"", ""Dec 07, 2006 (Australia [AU])"", ""Mar 01, 1997 (Australia [AU])"", ""Sep 29, 1996 (North America [NA])"", ""Jun 23, 1996 (Japan [JP])""]","[""Wii U"", ""Wii"", ""Nintendo 64""]","[""Adventure"", ""Platform""]","[""Action"", ""Fantasy""]","[""Nintendo EAD"", ""Nintendo""]",""
1638,GoldenEye 007,https://www.igdb.com/g/19i,8.59306746910223,Main Game,"[""Aug 25, 1997 (North America [NA])"", ""Aug 25, 1997 (Europe [EU])"", ""Aug 23, 1997 (Japan [JP])""]","[""Nintendo 64""]","[""Adventure"", ""Shooter""]","[""Action"", ""Stealth""]","[""Nintendo"", ""Rare""]",""
